DateTime,Open,High,Low,Close,Volume,Adj Close
11/10/2016,123.93,124.18,115.269997,120.800003,67822800,120.800003
11/9/2016,121.5,123.809998,120.510002,123.18,31856100,123.18
11/8/2016,122.029999,124.610001,121.540001,124.220001,19367800,124.220001
11/7/2016,122.830002,123.209999,121.349998,122.150002,23008900,122.150002
11/4/2016,119.589996,121.93,119.25,120.75,30545500,120.75
11/3/2016,122,123.279999,119.5,120,63766300,120
11/2/2016,130.229996,130.229996,126.279999,127.169998,39640900,127.169998
11/1/2016,131.410004,131.940002,128.649994,129.5,22077800,129.5
10/31/2016,132.009995,132.119995,130.880005,130.990005,15669000,130.990005
10/28/2016,130.5,132.970001,129.929993,131.289993,24545500,131.289993
10/27/2016,131.740005,131.800003,129.270004,129.690002,16741400,129.690002
10/26/2016,131.639999,132.259995,130.940002,131.039993,13084700,131.039993
10/25/2016,133.5,133.5,132.220001,132.289993,13336800,132.289993
10/24/2016,132.720001,133.410004,132.149994,133.279999,17470200,133.279999
10/21/2016,129.779999,132.130005,129.699997,132.070007,19088800,132.070007
10/20/2016,130.070007,130.660004,129.5,130,13167500,130
10/19/2016,128.740005,130.470001,128.600006,130.110001,16752300,130.110001
10/18/2016,128.679993,129.389999,128.009995,128.570007,13504000,128.570007
10/17/2016,128.199997,128.470001,127.32,127.540001,11351700,127.540001
10/14/2016,128.490005,128.949997,127.580002,127.879997,13345300,127.879997
10/13/2016,128.210007,128.25,126.75,127.82,17139300,127.82
10/12/2016,129.009995,129.660004,128.460007,129.050003,11073000,129.050003
10/11/2016,130.229996,130.639999,128.229996,128.880005,17537900,128.880005
